ScaleRank,LabelRank,FeatureCla,SOVEREIGNT,SOV_A3,ADM0_DIF,LEVEL,TYPE,ADMIN,ADM0_A3,GEOU_DIF,GEOUNIT,GU_A3,SU_DIF,SUBUNIT,SU_A3,NAME,ABBREV,POSTAL,NAME_FORMA,TERR_,NAME_SORT,MAP_COLOR,POP_EST,GDP_MD_EST,FIPS_10_,ISO_A2,ISO_A3,ISO_N3,ISO3,LON,LAT,ISO3.1,ADMIN.1,REGION,continent,GEO3major,GEO3,IMAGE24,GLOCAF,Stern,SRESmajor,SRES,GBD,AVOIDnumeric,AVOIDname,LDC,SID,LLDC
1,1,Admin-0 countries,Myanmar,MMR,0,2,Sovereign country,Myanmar,MMR,0,Myanmar,MMR,0,Myanmar,MMR,Myanmar,Myan.,MM,Union of Burma,NA,Myanmar,13,48137741,55130,0,MM,MMR,104,MMR,96.5058409420615,21.01699987377383,MMR,Myanmar,Asia,Eurasia,Asia and the Pacific,Southeast Asia,Southeastern Asia,South East Asia,East Asia,ASIA,Other Pacific Asia (PAS),"Asia, Southeast",20,Rest of East Asia,LDC,other,other
1,1,Admin-0 countries,Montenegro,MNE,0,2,Sovereign country,Montenegro,MNE,0,Montenegro,MNE,0,Montenegro,MNE,Montenegro,Mont.,ME,NA,NA,Montenegro,5,672180,6816,0,ME,MNE,499,MNE,19.286180967198277,42.78903833140131,MNE,Montenegro,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",25,Europe,other,other,other
1,1,Admin-0 countries,Mongolia,MNG,0,2,Sovereign country,Mongolia,MNG,0,Mongolia,MNG,0,Mongolia,MNG,Mongolia,Mong.,MN,NA,NA,Mongolia,6,3041142,9476,0,MN,MNG,496,MNG,102.94640518633793,46.82368250354818,MNG,Mongolia,Asia,Eurasia,Asia and the Pacific,NW Pacific and East Asia,China+,China,East Asia,ASIA,Centrally planned Asia and China (CPA),"Asia, Central",20,Rest of East Asia,other,other,LLDC
1,1,Admin-0 countries,Mozambique,MOZ,0,2,Sovereign country,Mozambique,MOZ,0,Mozambique,MOZ,0,Mozambique,MOZ,Mozambique,Moz.,MZ,Republic of Mozambique,NA,Mozambique,4,21669278,18940,0,MZ,MOZ,508,MOZ,35.472617154124826,-17.230446597813746,MOZ,Mozambique,Africa,Africa,Africa,Southern Africa,Southern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, East",24,Southern and East Africa,LDC,other,other
1,1,Admin-0 countries,Mauritania,MRT,0,2,Sovereign country,Mauritania,MRT,0,Mauritania,MRT,0,Mauritania,MRT,Mauritania,Mrt.,MR,Islamic Republic of Mauritania,NA,Mauritania,1,3129486,6308,0,MR,MRT,478,MRT,-10.326396925234993,20.209267206353772,MRT,Mauritania,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,other
1,1,Admin-0 countries,Malawi,MWI,0,2,Sovereign country,Malawi,MWI,0,Malawi,MWI,0,Malawi,MWI,Malawi,Mal.,MW,Republic of Malawi,NA,Malawi,5,14268711,11810,0,MW,MWI,454,MWI,34.193605325579334,-13.172832716661869,MWI,Malawi,Africa,Africa,Africa,Southern Africa,Southern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, East",24,Southern and East Africa,LDC,other,LLDC
1,1,Admin-0 countries,Malaysia,MYS,0,2,Sovereign country,Malaysia,MYS,0,Malaysia,MYS,0,Malaysia,MYS,Malaysia,Malay.,MY,NA,NA,Malaysia,6,25715819,384300,0,MY,MYS,458,MYS,114.67551396334079,3.548111770789708,MYS,Malaysia,Asia,Eurasia,Asia and the Pacific,Southeast Asia,Southeastern Asia,South East Asia,East Asia,ASIA,Other Pacific Asia (PAS),"Asia, Southeast",20,Rest of East Asia,other,other,other
1,1,Admin-0 countries,Namibia,NAM,0,2,Sovereign country,Namibia,NAM,0,Namibia,NAM,0,Namibia,NAM,Namibia,Nam.,"NA",Republic of Namibia,NA,Namibia,7,2108665,13250,0,"NA",NAM,516,NAM,17.156168126194085,-22.09977693173106,NAM,Namibia,Africa,Africa,Africa,Southern Africa,Southern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, Southern",24,Southern and East Africa,other,other,other
1,1,Admin-0 countries,France,FR1,1,2,Dependency,New Caledonia,NCL,0,New Caledonia,NCL,0,New Caledonia,NCL,New Caledonia,New C.,NC,Territory of New Caledonia and Dependencies,Fr.,New Caledonia,11,227436,3158,0,NC,NCL,540,NCL,165.53447460087543,-21.261357612526513,NCL,New Caledonia,Australia,Australia,Asia and the Pacific,South Pacific,Oceania,Oceania,Australasia,ASIA,Other Pacific Asia (PAS),Oceania,29,Rest of Australasia,other,SID,other
1,1,Admin-0 countries,Niger,NER,0,2,Sovereign country,Niger,NER,0,Niger,NER,0,Niger,NER,Niger,Niger,NE,Republic of Niger,NA,Niger,13,15306252,10040,0,NE,NER,562,NER,9.324429338177229,17.345552353329182,NER,Niger,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,LLDC
1,1,Admin-0 countries,Nigeria,NGA,0,2,Sovereign country,Nigeria,NGA,0,Nigeria,NGA,0,Nigeria,NGA,Nigeria,Nigeria,NG,Federal Republic of Nigeria,NA,Nigeria,2,149229090,335400,0,NG,NGA,566,NGA,7.995127754089791,9.548318418209972,NGA,Nigeria,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,other,other,other
1,1,Admin-0 countries,Nicaragua,NIC,0,2,Sovereign country,Nicaragua,NIC,0,Nicaragua,NIC,0,Nicaragua,NIC,Nicaragua,Nic.,NI,Republic of Nicaragua,NA,Nicaragua,9,5891199,16790,0,NI,NIC,558,NIC,-85.02031850080247,12.84819042803697,NIC,Nicaragua,South America,South America,Latin America and the Caribbean,Meso-America,Rest Central America,Rest of Central Am,Central America,ALM,Latin America and the Caribbean (LAM),"Latin America, Central",27,Central America,other,other,other
1,1,Admin-0 countries,Netherlands,NL1,0,2,Country,Netherlands,NLD,0,Netherlands,NLD,0,Netherlands,NLD,Netherlands,Neth.,NL,Kingdom of the Netherlands,NA,Netherlands,9,16715999,672000,0,NL,NLD,528,NLD,5.5122171009654,52.298700374441786,NLD,Netherlands,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Norway,NOR,0,2,Sovereign country,Norway,NOR,0,Norway,NOR,0,Norway,NOR,Norway,Nor.,N,Kingdom of Norway,NA,Norway,12,4676305,276400,0,NO,NOR,578,NOR,14.244779891176055,64.53653032901846,NOR,Norway,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Nepal,NPL,0,2,Sovereign country,Nepal,NPL,0,Nepal,NPL,0,Nepal,NPL,Nepal,Nepal,NP,Kingdom of Nepal,NA,Nepal,12,28563377,31080,0,NP,NPL,524,NPL,84.0131736769253,28.23944001904935,NPL,Nepal,Asia,Eurasia,Asia and the Pacific,South Asia,India+,Rest of South Asia,South Asia,ASIA,South Asia (SAS),"Asia, South",19,Rest of South Asia,LDC,other,LLDC
1,1,Admin-0 countries,New Zealand,NZ1,0,2,Country,New Zealand,NZL,0,New Zealand,NZL,0,New Zealand,NZL,New Zealand,N.Z.,NZ,NA,NA,New Zealand,4,4213418,116700,0,NZ,NZL,554,NZL,170.51301137499706,-43.98581773297279,NZL,New Zealand,Australia,Australia,Asia and the Pacific,Australia and New Zealand,Oceania,Oceania,Australasia,OECD90,Pacific OECD (PAO),Australasia,29,Rest of Australasia,other,other,other
1,1,Admin-0 countries,Oman,OMN,0,2,Sovereign country,Oman,OMN,0,Oman,OMN,0,Oman,OMN,Oman,Oman,OM,Sultanate of Oman,NA,Oman,6,3418085,66980,0,OM,OMN,512,OMN,56.09759852650493,20.581080291961044,OMN,Oman,Asia,Eurasia,West Asia,Arabian Peninsula,Middle East,Middle East,West Asia,ALM,Middle East and North Africa (MEA),North Africa/Middle East,30,Middle East,other,other,other
1,1,Admin-0 countries,Pakistan,PAK,0,2,Sovereign country,Pakistan,PAK,0,Pakistan,PAK,0,Pakistan,PAK,Pakistan,Pak.,PK,Islamic Republic of Pakistan,NA,Pakistan,11,176242949,427300,0,PK,PAK,586,PAK,69.41399806318131,29.973460025547404,PAK,Pakistan,Asia,Eurasia,Asia and the Pacific,South Asia,India+,Rest of South Asia,South Asia,ASIA,South Asia (SAS),"Asia, South",19,Rest of South Asia,other,other,other
1,1,Admin-0 countries,Panama,PAN,0,2,Sovereign country,Panama,PAN,0,Panama,PAN,0,Panama,PAN,Panama,Pan.,PA,Republic of Panama,NA,Panama,3,3360474,38830,0,PA,PAN,591,PAN,-80.1091648354938,8.530019388864655,PAN,Panama,South America,South America,Latin America and the Caribbean,Meso-America,Rest Central America,Rest of Central Am,Central America,ALM,Latin America and the Caribbean (LAM),"Latin America, Central",27,Central America,other,other,other
1,1,Admin-0 countries,Peru,PER,0,2,Sovereign country,Peru,PER,0,Peru,PER,0,Peru,PER,Peru,Peru,PE,Republic of Peru,NA,Peru,11,29546963,247300,0,PE,PER,604,PER,-74.39180581684722,-9.191562905134552,PER,Peru,South America,South America,Latin America and the Caribbean,South America,Rest South America,Rest of South Am,South America,ALM,Latin America and the Caribbean (LAM),"Latin America, Andean",26,South America,other,other,other
1,1,Admin-0 countries,Philippines,PHL,0,2,Sovereign country,Philippines,PHL,0,Philippines,PHL,0,Philippines,PHL,Philippines,Phil.,PH,Republic of the Philippines,NA,Philippines,8,97976603,317500,0,PH,PHL,608,PHL,121.54444242782013,15.750944349421399,PHL,Philippines,Asia,Eurasia,Asia and the Pacific,Southeast Asia,Southeastern Asia,South East Asia,East Asia,ASIA,Other Pacific Asia (PAS),"Asia, Southeast",20,Rest of East Asia,other,other,other
1,1,Admin-0 countries,Papua New Guinea,PNG,0,2,Sovereign country,Papua New Guinea,PNG,0,Papua New Guinea,PNG,0,Papua New Guinea,PN1,Papua New Guinea,P.N.G.,PG,Independent State of Papua New Guinea,NA,Papua New Guinea,1,6057263,13210,0,PG,PNG,598,PNG,144.33121555760042,-6.6450071344689,PNG,Papua New Guinea,Australia,Australia,Asia and the Pacific,South Pacific,Oceania,Oceania,Australasia,ASIA,Other Pacific Asia (PAS),Oceania,29,Rest of Australasia,other,SID,other
1,1,Admin-0 countries,Poland,POL,0,2,Sovereign country,Poland,POL,0,Poland,POL,0,Poland,POL,Poland,Pol.,PL,Republic of Poland,NA,Poland,2,38482919,667900,0,PL,POL,616,POL,19.311014308448684,52.14826021933185,POL,Poland,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",17,Poland,other,other,other
1,1,Admin-0 countries,United States of America,US1,1,2,Dependency,Puerto Rico,PRI,0,Puerto Rico,PRI,0,Puerto Rico,PRI,Puerto Rico,P.R.,PR,Commonwealth of Puerto Rico,Commonwealth of U.S.A.,Puerto Rico,1,3971020,70230,0,PR,PRI,630,PRI,-66.47922227695507,18.237224570971897,PRI,Puerto Rico,South America,South America,Latin America and the Caribbean,Caribbean,Rest Central America,Rest of Central Am,Caribbean,OECD90,North America (NAM),Caribbean,28,Caribbean,other,SID,other
1,1,Admin-0 countries,North Korea,PRK,0,2,Sovereign country,North Korea,PRK,0,North Korea,PRK,0,North Korea,PRK,N. Korea,N. Kor.,KP,Democratic People's Republic of Korea,NA,"Korea, North",9,22665345,40000,0,KP,PRK,408,PRK,127.16501676281214,40.143020860844565,PRK,North Korea,Asia,Eurasia,Asia and the Pacific,NW Pacific and East Asia,Korea,China,East Asia,ASIA,Centrally planned Asia and China (CPA),"Asia, East",20,Rest of East Asia,other,other,other
1,1,Admin-0 countries,Portugal,PRT,0,2,Sovereign country,Portugal,PRT,0,Portugal,PRT,0,Portugal,PR1,Portugal,Port.,P,Portuguese Republic,NA,Portugal,4,10707924,236500,0,PT,PRT,620,PRT,-8.055765588295685,39.63404977497815,PRT,Portugal,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Paraguay,PRY,0,2,Sovereign country,Paraguay,PRY,0,Paraguay,PRY,0,Paraguay,PRY,Paraguay,Para.,PY,Republic of Paraguay,NA,Paraguay,2,6995655,28890,0,PY,PRY,600,PRY,-58.387387833505706,-23.24804194629207,PRY,Paraguay,South America,South America,Latin America and the Caribbean,South America,Rest South America,Rest of South Am,South America,ALM,Latin America and the Caribbean (LAM),"Latin America, Tropical",26,South America,other,other,LLDC
1,1,Admin-0 countries,Qatar,QAT,0,2,Sovereign country,Qatar,QAT,0,Qatar,QAT,0,Qatar,QAT,Qatar,Qatar,QA,State of Qatar,NA,Qatar,4,833285,91330,0,QA,QAT,634,QAT,51.183502578913284,25.321850974206686,QAT,Qatar,Asia,Eurasia,West Asia,Arabian Peninsula,Middle East,Middle East,West Asia,ALM,Middle East and North Africa (MEA),North Africa/Middle East,30,Middle East,other,other,other
1,1,Admin-0 countries,Romania,ROU,0,2,Sovereign country,Romania,ROU,0,Romania,ROU,0,Romania,ROU,Romania,Rom.,RO,NA,NA,Romania,13,22215421,271400,0,RO,ROU,642,ROU,24.94325249463539,45.85710103573802,ROU,Romania,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",25,Europe,other,other,other
1,1,Admin-0 countries,Russia,RUS,0,2,Sovereign country,Russia,RUS,0,Russia,RUS,0,Russia,RUS,Russia,Rus.,RUS,Russian Federation,NA,Russia,7,140041247,2266000,0,RU,RUS,643,RUS,99.21652678692509,61.69256470740823,RUS,Russia,Europe,Eurasia,Europe,Eastern Europe,Russia+,Russia,Europe,REF,Newly Independent States of FSU (FSU),"Europe, Eastern",3,Russia,other,other,other
1,1,Admin-0 countries,Rwanda,RWA,0,2,Sovereign country,Rwanda,RWA,0,Rwanda,RWA,0,Rwanda,RWA,Rwanda,Rwa.,RW,Rwandese Republic,NA,Rwanda,10,10473282,9706,0,RW,RWA,646,RWA,29.91896583707996,-2.013515525878705,RWA,Rwanda,Africa,Africa,Africa,Eastern Africa,Eastern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, East",24,Southern and East Africa,LDC,other,LLDC
1,1,Admin-0 countries,Western Sahara,SAH,0,2,Disputed,Western Sahara,SAH,0,Western Sahara,SAH,0,Western Sahara,SAH,W. Sahara,W. Sah.,WS,NA,Disputed,Western Sahara,4,NA,900,-99,-99,ESH,-99,ESH,-12.1378311116078,24.29117296020861,SAH,Western Sahara,Africa,Africa,Africa,North Africa,Northern Africa,North Africa,North Africa,ALM,Middle East and North Africa (MEA),North Africa/Middle East,22,North Africa,other,other,other
1,1,Admin-0 countries,Saudi Arabia,SAU,0,2,Sovereign country,Saudi Arabia,SAU,0,Saudi Arabia,SAU,0,Saudi Arabia,SAU,Saudi Arabia,Saud.,SA,Kingdom of Saudi Arabia,NA,Saudi Arabia,7,28686633,576500,0,SA,SAU,682,SAU,44.51636376826474,24.12328983910529,SAU,Saudi Arabia,Asia,Eurasia,West Asia,Arabian Peninsula,Middle East,Middle East,West Asia,ALM,Middle East and North Africa (MEA),North Africa/Middle East,18,Saudi Arabia,other,other,other
1,1,Admin-0 countries,Sudan,SDN,0,2,Sovereign country,Sudan,SDN,0,Sudan,SDN,0,Sudan,SDN,Sudan,Sudan,SD,Republic of the Sudan,NA,Sudan,1,30894000,88080,0,SD,SDN,729,SDN,29.862604012257922,15.990585003116733,SDN,Sudan,Africa,Africa,Africa,North Africa,Eastern Africa,North Africa,North Africa,ALM,Middle East and North Africa (MEA),"Sub-Saharan Africa, East",22,North Africa,LDC,other,other
1,1,Admin-0 countries,South Sudan,SDS,0,2,Sovereign country,South Sudan,SDS,0,South Sudan,SDS,0,South Sudan,SDS,S. Sudan,S. Sud.,SS,Republic of South Sudan,NA,South Sudan,5,8260490,NA,-99,SS,SSD,728,SSD,30.198617582275237,7.292889714818293,SDS,South Sudan,Africa,Africa,Africa,North Africa,Eastern Africa,North Africa,North Africa,ALM,Middle East and North Africa (MEA),"Sub-Saharan Africa, East",22,North Africa,LDC,other,other
1,1,Admin-0 countries,Senegal,SEN,0,2,Sovereign country,Senegal,SEN,0,Senegal,SEN,0,Senegal,SEN,Senegal,Sen.,SN,Republic of Senegal,NA,Senegal,5,13711597,21980,0,SN,SEN,686,SEN,-14.509802785859435,14.354139988452028,SEN,Senegal,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,other
1,1,Admin-0 countries,Solomon Islands,SLB,0,2,Sovereign country,Solomon Islands,SLB,0,Solomon Islands,SLB,0,Solomon Islands,SLB,Solomon Is.,S. Is.,SB,NA,NA,Solomon Islands,6,595613,1078,0,SB,SLB,90,SLB,159.1024984152817,-7.90210767639019,SLB,Solomon Islands,Australia,Australia,Asia and the Pacific,South Pacific,Oceania,Oceania,Australasia,ASIA,Other Pacific Asia (PAS),Oceania,29,Rest of Australasia,LDC,SID,other
1,1,Admin-0 countries,Sierra Leone,SLE,0,2,Sovereign country,Sierra Leone,SLE,0,Sierra Leone,SLE,0,Sierra Leone,SLE,Sierra Leone,S.L.,SL,Republic of Sierra Leone,NA,Sierra Leone,7,6440053,4285,0,SL,SLE,694,SLE,-11.795257428559944,8.530353726153043,SLE,Sierra Leone,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,other
1,1,Admin-0 countries,El Salvador,SLV,0,2,Sovereign country,El Salvador,SLV,0,El Salvador,SLV,0,El Salvador,SLV,El Salvador,El. S.,SV,Republic of El Salvador,NA,El Salvador,8,7185218,43630,0,SV,SLV,222,SLV,-88.87290317032377,13.726091625794192,SLV,El Salvador,South America,South America,Latin America and the Caribbean,Meso-America,Rest Central America,Rest of Central Am,Central America,ALM,Latin America and the Caribbean (LAM),"Latin America, Central",27,Central America,other,other,other
1,1,Admin-0 countries,Somaliland,SOL,0,2,Disputed,Somaliland,SOL,0,Somaliland,SOL,0,Somaliland,SOL,Somaliland,Solnd.,SL,Republic of Somaliland,NA,Somaliland,2,3500000,NA,-99,-99,SOL,-99,SOL,46.230747761343494,9.757970293312706,SOL,Somaliland,Africa,Africa,Africa,Eastern Africa,Eastern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, East",24,Southern and East Africa,other,other,other
1,1,Admin-0 countries,Somalia,SOM,0,2,Sovereign country,Somalia,SOM,0,Somalia,SOM,0,Somalia,SOM,Somalia,Som.,SO,Federal Republic of Somalia,NA,Somalia,7,9832017,5524,0,SO,SOM,706,SOM,45.726700767235656,4.752347756504954,SOM,Somalia,Africa,Africa,Africa,Eastern Africa,Eastern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, East",24,Southern and East Africa,LDC,other,other
1,1,Admin-0 countries,Republic of Serbia,SRB,0,2,Sovereign country,Republic of Serbia,SRB,0,Republic of Serbia,SRB,0,Republic of Serbia,SRB,Serbia,Serb.,RS,Republic of Serbia,NA,Serbia,10,7379339,80340,0,RS,SRB,688,SRB,20.8196512674302,44.23303720363519,SRB,Republic of Serbia,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",25,Europe,other,other,other
1,1,Admin-0 countries,Suriname,SUR,0,2,Sovereign country,Suriname,SUR,0,Suriname,SUR,0,Suriname,SUR,Suriname,Sur.,SR,Republic of Suriname,NA,Suriname,6,481267,4254,0,SR,SUR,740,SUR,-55.91145629952074,4.120008031758885,SUR,Suriname,South America,South America,Latin America and the Caribbean,South America,Rest South America,Rest of South Am,South America,ALM,Latin America and the Caribbean (LAM),Caribbean,26,South America,other,SID,other
1,1,Admin-0 countries,Slovakia,SVK,0,2,Sovereign country,Slovakia,SVK,0,Slovakia,SVK,0,Slovakia,SVK,Slovakia,Svk.,SK,Slovak Republic,NA,Slovakia,9,5463046,119500,0,SK,SVK,703,SVK,19.507657147433704,48.726711351727495,SVK,Slovakia,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",25,Europe,other,other,other
1,1,Admin-0 countries,Slovenia,SVN,0,2,Sovereign country,Slovenia,SVN,0,Slovenia,SVN,0,Slovenia,SVN,Slovenia,Slo.,SLO,Republic of Slovenia,NA,Slovenia,12,2005692,59340,0,SI,SVN,705,SVN,14.93815232079573,46.125422059010376,SVN,Slovenia,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",25,Europe,other,other,other
1,1,Admin-0 countries,Sweden,SWE,0,2,Sovereign country,Sweden,SWE,0,Sweden,SWE,0,Sweden,SWE,Sweden,Swe.,S,Kingdom of Sweden,NA,Sweden,4,9059651,344300,0,SE,SWE,752,SWE,16.596265846848016,62.81148496808033,SWE,Sweden,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Swaziland,SWZ,0,2,Sovereign country,Swaziland,SWZ,0,Swaziland,SWZ,0,Swaziland,SWZ,Swaziland,Swz.,SZ,Kingdom of Swaziland,NA,Swaziland,5,1123913,5702,0,SZ,SWZ,748,SWZ,31.395255902065326,-26.489855288520012,SWZ,Swaziland,Africa,Africa,Africa,Southern Africa,Southern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, Southern",24,Southern and East Africa,other,other,LLDC
1,1,Admin-0 countries,Syria,SYR,0,2,Sovereign country,Syria,SYR,0,Syria,SYR,0,Syria,SYR,Syria,Syria,SYR,Syrian Arab Republic,NA,Syria,6,20178485,98830,0,SY,SYR,760,SYR,38.54423941961137,35.012614281129,SYR,Syria,Asia,Eurasia,West Asia,Mashriq,Middle East,Middle East,West Asia,ALM,Middle East and North Africa (MEA),North Africa/Middle East,30,Middle East,other,other,other
1,1,Admin-0 countries,Chad,TCD,0,2,Sovereign country,Chad,TCD,0,Chad,TCD,0,Chad,TCD,Chad,Chad,TD,Republic of Chad,NA,Chad,6,10329208,15860,0,TD,TCD,148,TCD,18.58132952533289,15.328867399839664,TCD,Chad,Africa,Africa,Africa,Central Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,LLDC
1,1,Admin-0 countries,Togo,TGO,0,2,Sovereign country,Togo,TGO,0,Togo,TGO,0,Togo,TGO,Togo,Togo,TG,Togolese Republic,NA,Togo,5,6019877,5118,0,TG,TGO,768,TGO,0.996403943670358,8.439541954669615,TGO,Togo,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,other
1,1,Admin-0 countries,Thailand,THA,0,2,Sovereign country,Thailand,THA,0,Thailand,THA,0,Thailand,THA,Thailand,Thai.,TH,Kingdom of Thailand,NA,Thailand,1,65905410,547400,0,TH,THA,764,THA,101.00613354626107,15.016974991416477,THA,Thailand,Asia,Eurasia,Asia and the Pacific,Southeast Asia,Southeastern Asia,South East Asia,East Asia,ASIA,Other Pacific Asia (PAS),"Asia, Southeast",20,Rest of East Asia,other,other,other
1,1,Admin-0 countries,Tajikistan,TJK,0,2,Sovereign country,Tajikistan,TJK,0,Tajikistan,TJK,0,Tajikistan,TJK,Tajikistan,Tjk.,TJ,Republic of Tajikistan,NA,Tajikistan,5,7349145,13160,0,TJ,TJK,762,TJK,71.03443504896109,38.5830814642108,TJK,Tajikistan,Asia,Eurasia,Asia and the Pacific,Central Asia,Asia-Stan,FSU,Central Asia,REF,Newly Independent States of FSU (FSU),"Asia, Central",21,Rest of Central Asia,other,other,LLDC
1,1,Admin-0 countries,Turkmenistan,TKM,0,2,Sovereign country,Turkmenistan,TKM,0,Turkmenistan,TKM,0,Turkmenistan,TKM,Turkmenistan,Turkm.,TM,NA,NA,Turkmenistan,9,4884887,29780,0,TM,TKM,795,TKM,59.27543026236143,39.09124018017582,TKM,Turkmenistan,Asia,Eurasia,Asia and the Pacific,Central Asia,Asia-Stan,FSU,Central Asia,REF,Newly Independent States of FSU (FSU),"Asia, Central",21,Rest of Central Asia,other,other,LLDC
1,1,Admin-0 countries,East Timor,TLS,0,2,Sovereign country,East Timor,TLS,0,East Timor,TLS,0,East Timor,TLS,East Timor,E.T.,TL,East Timor (Timor Leste),NA,East Timor (Timor Leste),3,1131612,2520,0,TL,TLS,626,TLS,125.96630027368401,-8.767760362467005,TLS,East Timor,Asia,Eurasia,Asia and the Pacific,Southeast Asia,Indonesia+,South East Asia,East Asia,ASIA,Other Pacific Asia (PAS),"Asia, Southeast",11,Indonesia,other,other,other
1,1,Admin-0 countries,Trinidad and Tobago,TTO,0,2,Sovereign country,Trinidad and Tobago,TTO,0,Trinidad and Tobago,TTO,0,Trinidad and Tobago,TTO,Trinidad and Tobago,Tr.T.,TT,Republic of Trinidad and Tobago,NA,Trinidad and Tobago,5,1310000,29010,0,TT,TTO,780,TTO,-61.33036691444965,10.428237089201879,TTO,Trinidad and Tobago,South America,South America,Latin America and the Caribbean,Caribbean,Rest Central America,Rest of Central Am,Caribbean,ALM,Latin America and the Caribbean (LAM),Caribbean,28,Caribbean,other,SID,other
1,1,Admin-0 countries,Tunisia,TUN,0,2,Sovereign country,Tunisia,TUN,0,Tunisia,TUN,0,Tunisia,TUN,Tunisia,Tun.,TN,Republic of Tunisia,NA,Tunisia,2,10486339,81710,0,TN,TUN,788,TUN,9.53471612069583,34.17293903688236,TUN,Tunisia,Africa,Africa,Africa,North Africa,Northern Africa,North Africa,North Africa,ALM,Middle East and North Africa (MEA),North Africa/Middle East,22,North Africa,other,other,other
1,1,Admin-0 countries,Turkey,TUR,0,2,Sovereign country,Turkey,TUR,0,Turkey,TUR,0,Turkey,TUR,Turkey,Tur.,TR,Republic of Turkey,NA,Turkey,4,76805524,902700,0,TR,TUR,792,TUR,35.39210245793434,38.99072972795296,TUR,Turkey,Europe,Eurasia,Europe,Central Europe,Turkey,Turkey,Europe,OECD90,Western Europe (WEU),North Africa/Middle East,25,Europe,other,other,other
1,1,Admin-0 countries,Taiwan,TWN,0,2,Sovereign country,Taiwan,TWN,0,Taiwan,TWN,0,Taiwan,TWN,Taiwan,Taiwan,TW,NA,NA,Taiwan,2,22974347,712000,0,TW,TWN,158,TWN,120.97480073748625,23.74096497978493,TWN,Taiwan,Asia,Eurasia,Asia and the Pacific,NW Pacific and East Asia,China+,China,East Asia,ASIA,Other Pacific Asia (PAS),"Asia, East",20,Rest of East Asia,other,other,other
