Date	New Cases	Med ave	Smooth	Smooth2	Canada Cases	percentage
6-Apr				1370	190430	0.005089084228
7-Apr				1270	176530	0.004717618226
8-Apr				1170	162630	0.004346152224
9-Apr				1100	152900	0.004086126023
10-Apr				1050	145950	0.003900393022
11-Apr				1000	139000	0.003714660021
12-Apr				950	132050	0.00352892702
13-Apr				900	125100	0.003343194019
14-Apr				850	118150	0.003157461018
15-Apr				800	111200	0.002971728017
16-Apr				750	104250	0.002785995016
17-Apr				700	97300	0.002600262014
18-Apr				650	90350	0.002414529013
19-Apr				600	83400	0.002228796012
20-Apr				570	79230	0.002117356212
21-Apr				540	75060	0.002005916411
22-Apr				510	70890	0.001894476611
23-Apr				480	66720	0.00178303681
24-Apr				450	62550	0.001671597009
25-Apr				420	58380	0.001560157209
27-Apr				390	54210	0.001448717408
28-Apr				360	50040	0.001337277607
29-Apr				330	45870	0.001225837807
30-Apr				300	41700	0.001114398006
1-May				270	37530	0.001002958206
2-May				240	33360	0.000891518405
3-May				220	30580	0.0008172252046
4-May				200	27800	0.0007429320041
5-May				180	25020	0.0006686388037
6-May				160	22240	0.0005943456033
7-May				140	19460	0.0005200524029
8-May				120	16680	0.0004457592025
9-May				100	13900	0.0003714660021
10-May				80	11120	0.0002971728017
11-May				60	8340	0.0002228796012
12-May				40	5560	0.0001485864008
13-May				20	2780	0.00007429320041
14-May				15	2085	0.00005571990031
15-May				13	1807	0.00004829058027
16-May				11	1529	0.00004086126023
17-May				9	1251	0.00003343194019
18-May				7	973	0.00002600262014
19-May				6	834	0.00002228796012
20-May				5	695	0.0000185733001
21-May				4	556	0.00001485864008
22-May				3	417	0.00001114398006
23-May				2	278	0.000007429320041
24-May				1	139	0.000003714660021
25-May				0.5	69.5	0.00000185733001
26-May				0.25	34.75	0.0000009286650052
27-May				0.1	13.9	0.0000003714660021
