NAME	 infected
Chitaraque, BY	 651
Chivata, BY	 799
Chivor, BY	 592
Cienaga, BY	 861
Combita, BY	 352
Coper, BY	 629
Corrales, BY	 359
Covarachia, BY	 543
Cubara, BY	 235
Cucaita, BY	 940
Cuitiva, BY	 809
Duitama, BY	 280
El Cocuy, BY	 912
El Espino, BY	 999
Firavitoba, BY	 281
Floresta, BY	 280
Gachantiva, BY	 829
Gameza, BY	 497
Garagoa, BY	 979
Guacamayas, BY	 151
Guateque, BY	 301
Guayata, BY	 591
Guican, BY	 149
Iza, BY	 676
Jenesano, BY	 635
Jerico, BY	 132
La Capilla, BY	 774
La Uvita, BY	 313
La Victoria, BY	 982
Labranzagrande, BY	 306
Macanal, BY	 75
Maripi, BY	 502
Miraflores, BY	 42
Mongua, BY	 367
Mongui, BY	 265
Moniquira, BY	 471
Motavita, BY	 303
Muzo, BY	 3
Nobsa, BY	 103
Nuevo Colon, BY	 719
Oicata, BY	 430
Otanche, BY	 242
Pachavita, BY	 573
Paez, BY	 804
Paipa, BY	 252
Pajarito, BY	 385
Panqueba, BY	 738
Pauna, BY	 192
Paya, BY	 918
Paz de Rio, BY	 147
Pesca, BY	 677
Pisba, BY	 305
Puerto Boyaca, BY	 985
Quipama, BY	 252
Ramiriqui, BY	 678
Raquira, BY	 858
Rondon, BY	 294
Saboya, BY	 69
Sachica, BY	 137
Samaca, BY	 467
San Eduardo, BY	 194
San Jose de Pare, BY	 613
San Luis de Gaceno, BY	 62
San Mateo, BY	 768
San Miguel de Sema, BY	 556
San Pablo de Borbur, BY	 187
Santa Maria, BY	 953
Santa Rosa de Viterbo, BY	 569
Santa Sofia, BY	 190
Santana, BY	 510
Sativanorte, BY	 651
Sativasur, BY	 894
Siachoque, BY	 413
Soata, BY	 630
Socha, BY	 270
Socota, BY	 349
Sogamoso, BY	 152
Somondoco, BY	 771
Sora, BY	 825
Soraca, BY	 920
Sotaquira, BY	 371
Susacon, BY	 381
Sutamarchan, BY	 484
Sutatenza, BY	 896
Tasco, BY	 911
Tenza, BY	 484
Tibana, BY	 64
Tibasosa, BY	 68
Tinjaca, BY	 148
Tipacoque, BY	 38
Toca, BY	 690
Togui, BY	 622
Topaga, BY	 593
Tota, BY	 247
Tunja, BY	 754
Tunungua, BY	 573
Turmeque, BY	 985
Tuta, BY	 956
Tutaza, BY	 619
Umbita, BY	 264
Ventaquemada, BY	 568
Villa de Leyva, BY	 121
Viracacha, BY	 630
Zetaquira, BY	 606
Aguadas, CL	 855
Anserma, CL	 146
Aranzazu, CL	 959
Belalcazar, CL	 139
Chinchina, CL	 759
Filadelfia, CL	 728
La Dorada, CL	 732
La Merced, CL	 450
Manizales, CL	 865
Manzanares, CL	 992
Marmato, CL	 548
Marquetalia, CL	 994
Marulanda, CL	 298
Neira, CL	 869
Pacora, CL	 40
Palestina, CL	 576
Pensilvania, CL	 1000
Riosucio, CL	 422
Risaralda, CL	 17
Salamina, CL	 679
Samana, CL	 872
Supia, CL	 698
Victoria, CL	 871
Villamaria, CL	 624
Viterbo, CL	 642
Albania, CQ	 161
Belen de los Andaquies, CQ	 506
Cartagena del Chaira, CQ	 888
Curillo, CQ	 136
El Doncello, CQ	 146
El Paujil, CQ	 756
Florencia, CQ	 49
La Montanita, CQ	 593
Milan, CQ	 3
Morelia, CQ	 344
Puerto Rico, CQ	 125
San Jose del Fragua, CQ	 436
San Vicente del Caguan, CQ	 986
Solano, CQ	 567
Valparaiso, CQ	 122
Aguazul, CS	 889
Chameza, CS	 531
Hato Corozal, CS	 376
La Salina, CS	 305
Mani, CS	 654
Monterrey, CS	 66
Nunchia, CS	 964
Orocue, CS	 103
Paz de Ariporo, CS	 623
Pore, CS	 346
Recetor, CS	 720
Sabanalarga, CS	 456
Sacama, CS	 991
San Luis de Palenque, CS	 152
Tamara, CS	 779
Tauramena, CS	 314
Trinidad, CS	 338
Villanueva, CS	 823
Yopal, CS	 82
Almaguer, CA	 677
Argelia, CA	 257
Balboa, CA	 986
Bolivar, CA	 166
Buenos Aires, CA	 602
Cajibio, CA	 273
Caldono, CA	 909
Caloto, CA	 679
Corinto, CA	 917
El Tambo, CA	 531
Florencia, CA	 941
Guapi, CA	 559
Inza, CA	 913
Jambalo, CA	 500
La Sierra, CA	 503
La Vega, CA	 344
Lopez de Micay, CA	 917
Mercaderes, CA	 50
Miranda, CA	 457
Morales, CA	 932
Padilla, CA	 331
Paez, CA	 405
Patia, CA	 934
Piendamo, CA	 668
Popayan, CA	 36
Puerto Tejada, CA	 509
Purace, CA	 849
Rosas, CA	 796
San Sebastian, CA	 131
Santa Rosa, CA	 98
Santander de Quilichao, CA	 428
Silvia, CA	 788
Sotara, CA	 945
Suarez, CA	 399
Timbio, CA	 325
Timbiqui, CA	 938
Toribio, CA	 887
Totoro, CA	 171
Aguachica, CE	 376
Agustin Codazzi, CE	 171
Astrea, CE	 27
Becerril, CE	 873
Bosconia, CE	 110
Chimichagua, CE	 722
Chiriguana, CE	 301
Curumani, CE	 945
El Copey, CE	 184
El Paso, CE	 547
Gamarra, CE	 393
Gonzalez, CE	 498
La Gloria, CE	 802
La Jagua de Ibirico, CE	 735
La Paz, CE	 641
Manaure, CE	 492
Pailitas, CE	 927
Pelaya, CE	 201
Rio de Oro, CE	 752
San Alberto, CE	 132
San Diego, CE	 755
San Martin, CE	 685
Tamalameque, CE	 782
Valledupar, CE	 499
Acandi, CH	 821
Alto Baudo, CH	 391
Bagado, CH	 886
Bahia Solano, CH	 926
Bajo Baudo, CH	 965
Bojaya, CH	 72
Condoto, CH	 276
El Canton del San Pablo, CH	 701
El Carmen de Atrato, CH	 776
El Litoral del San Juan, CH	 708
Istmina, CH	 537
Jurado, CH	 571
Lloro, CH	 555
Novita, CH	 224
Nuqui, CH	 578
Quibdo, CH	 12
Riosucio, CH	 111
San Jose del Palmar, CH	 828
Sipi, CH	 560
Tado, CH	 10
Unguia, CH	 516
Ayapel, CO	 201
Buenavista, CO	 530
Canalete, CO	 342
Cerete, CO	 743
Chima, CO	 470
Chinu, CO	 676
Cienaga de Oro, CO	 637
Los Cordobas, CO	 555
Momil, CO	 146
Monitos, CO	 707
Montelibano, CO	 820
Monteria, CO	 369
Planeta Rica, CO	 46
Pueblo Nuevo, CO	 58
Puerto Escondido, CO	 835
Puerto Libertador, CO	 439
Purisima, CO	 482
San Andres de Sotavento, CO	 269
San Antero, CO	 60
San Bernardino de Sahagun, CO	 843
San Bernardo del Viento, CO	 903
San Carlos, CO	 267
San Pelayo, CO	 168
Santa Cruz de Lorica, CO	 246
Tierralta, CO	 916
Valencia, CO	 307
Agua de Dios, CU	 324
Alban, CU	 656
Anapoima, CU	 757
Anolaima, CU	 55
Apulo, CU	 343
Arbelaez, CU	 258
Beltran, CU	 51
Bituima, CU	 708
Bojaca, CU	 965
Cabrera, CU	 655
Cachipay, CU	 838
Cajica, CU	 553
Caparrapi, CU	 575
Caqueza, CU	 704
Carmen de Carupa, CU	 320
Chaguani, CU	 905
Chia, CU	 595
Chipaque, CU	 259
Choachi, CU	 720
Choconta, CU	 384
Cogua, CU	 408
Cota, CU	 303
Cucunuba, CU	 38
El Colegio, CU	 973
El Penon, CU	 225
Facatativa, CU	 536
Fomeque, CU	 583
Fosca, CU	 174
Funza, CU	 356
Fuquene, CU	 285
Fusagasuga, CU	 679
Gachala, CU	 252
Gachancipa, CU	 794
Gacheta, CU	 235
Gama, CU	 333
Girardot, CU	 413
Guacheta, CU	 114
Guaduas, CU	 67
Guasca, CU	 947
Guataqui, CU	 886
Guatavita, CU	 808
Guayabal de Siquima, CU	 191
Guayabetal, CU	 939
Gutierrez, CU	 84
Jerusalen, CU	 913
Junin, CU	 263
La Calera, CU	 877
La Mesa, CU	 752
La Palma, CU	 24
La Pena, CU	 812
La Vega, CU	 837
Lenguazaque, CU	 689
Macheta, CU	 214
Madrid, CU	 542
Manta, CU	 702
Medina, CU	 713
Mosquera, CU	 111
Narino, CU	 937
Nemocon, CU	 323
Nilo, CU	 961
Nimaima, CU	 82
Nocaima, CU	 722
Pacho, CU	 255
Paime, CU	 674
Pandi, CU	 317
Paratebueno, CU	 652
Pasca, CU	 465
Puerto Salgar, CU	 756
Puli, CU	 452
Quebradanegra, CU	 388
Quetame, CU	 844
Quipile, CU	 709
Ricaurte, CU	 964
San Antonio del Tequendama, CU	 840
San Bernardo, CU	 691
San Cayetano, CU	 490
San Francisco, CU	 213
San Juan de Rio Seco, CU	 319
Santafe de Bogota, CU	 555
Sasaima, CU	 560
Sesquile, CU	 752
Sibate, CU	 840
Silvania, CU	 3
Simijaca, CU	 228
Soacha, CU	 470
Sopo, CU	 548
Subachoque, CU	 566
Suesca, CU	 2
Supata, CU	 288
Susa, CU	 169
Sutatausa, CU	 719
Tabio, CU	 412
Tausa, CU	 220
Tena, CU	 234
Tenjo, CU	 209
Tibacuy, CU	 507
Tibirita, CU	 777
Tocaima, CU	 199
Tocancipa, CU	 514
Topaipi, CU	 672
Ubala, CU	 511
Ubaque, CU	 774
Une, CU	 693
Utica, CU	 73
Venecia, CU	 764
Vergara, CU	 315
Viani, CU	 602
Villa de San Diego de Ubate, CU	 674
Villagomez, CU	 902
Villapinzon, CU	 656
Villeta, CU	 565
Viota, CU	 921
Yacopi, CU	 588
Zipacon, CU	 61
Zipaquira, CU	 112
Barranco Minas, GN	 347
Cacahual, GN	 918
La Guadalupe, GN	 389
Pana Pana, GN	 472
Puerto Colombia, GN	 266
Puerto Inirida, GN	 911
San Felipe, GN	 515
Calamar, GV	 411
El Retorno, GV	 93
Miraflores, GV	 326
San Jose del Guaviare, GV	 351
Acevedo, HU	 26
Agrado, HU	 575
Aipe, HU	 832
Algeciras, HU	 240
Altamira, HU	 885
Baraya, HU	 350
Campoalegre, HU	 563
Colombia, HU	 746
Elias, HU	 252
Garzon, HU	 610
Gigante, HU	 3
Guadalupe, HU	 968
Hobo, HU	 343
Iquira, HU	 887
Isnos, HU	 703
La Argentina, HU	 872
La Plata, HU	 396
Nataga, HU	 959
Neiva, HU	 170
Oporapa, HU	 231
Paicol, HU	 365
Palermo, HU	 961
Palestina, HU	 621
Pital, HU	 73
Pitalito, HU	 978
Rivera, HU	 39
Saladoblanco, HU	 730
San Agustin, HU	 937
Santa Maria, HU	 640
Suaza, HU	 449
Tarqui, HU	 527
Tello, HU	 692
Teruel, HU	 571
Tesalia, HU	 364
Timana, HU	 83
Villavieja, HU	 455
Yaguara, HU	 451
Barrancas, LG	 888
El Molino, LG	 522
Fonseca, LG	 190
Maicao, LG	 335
Manaure, LG	 71
Riohacha, LG	 253
San Juan del Cesar, LG	 519
Uribia, LG	 86
Urumita, LG	 957
Villanueva, LG	 302
Aracataca, MA	 28
Ariguani, MA	 306
Cerro de San Antonio, MA	 836
Chivolo, MA	 857
Cienaga, MA	 828
El Banco, MA	 359
El Pinon, MA	 769
Fundacion, MA	 373
Guamal, MA	 37
Pedraza, MA	 628
Pivijay, MA	 610
Plato, MA	 868
Pueblo Viejo, MA	 541
Remolino, MA	 61
Salamina, MA	 242
San Sebastian de Buenavista, MA	 378
San Zenon, MA	 735
Santa Ana, MA	 156
Santa Marta (Dist. Esp.), MA	 69
Tenerife, MA	 111
Acacias, ME	 432
Barranca de Upia, ME	 415
Cabuyaro, ME	 712
Castilla la Nueva, ME	 471
Cumaral, ME	 8
El Calvario, ME	 703
El Castillo, ME	 401
El Dorado, ME	 896
Fuente de Oro, ME	 260
Granada, ME	 543
Guamal, ME	 749
La Macarena, ME	 782
La Uribe, ME	 409
Lejanias, ME	 654
Mapiripan, ME	 835
Mesetas, ME	 73
Puerto Concordia, ME	 572
Puerto Gaitan, ME	 917
Puerto Lleras, ME	 988
Puerto Lopez, ME	 86
Puerto Rico, ME	 951
Restrepo, ME	 984
San Carlos de Guaroa, ME	 291
San Juan de Arama, ME	 397
San Juanito, ME	 700
San Luis de Cubarral, ME	 445
San Martin, ME	 622
Villavicencio, ME	 74
Vista Hermosa, ME	 805
Alban, NA	 476
Aldana, NA	 685
Ancuya, NA	 625
Arboleda, NA	 861
Barbacoas, NA	 764
Belen, NA	 5
Buesaco, NA	 235
Chachagui, NA	 93
Colon, NA	 581
Consaca, NA	 582
Contadero, NA	 297
Cordoba, NA	 821
Cuaspud, NA	 135
Cumbal, NA	 748
Cumbitara, NA	 777
El Charco, NA	 808
El Rosario, NA	 183
El Tablon de Gomez, NA	 458
El Tambo, NA	 51
Francisco Pizarro, NA	 747
Funes, NA	 645
Guachucal, NA	 963
Guaitarilla, NA	 753
Gualmatan, NA	 520
Iles, NA	 866
Imues, NA	 500
Ipiales, NA	 701
La Cruz, NA	 244
La Florida, NA	 976
La Llanada, NA	 692
La Tola, NA	 772
La Union de Sucre, NA	 283
Leiva, NA	 856
Linares, NA	 100
Los Andes, NA	 211
Magui, NA	 219
Mallama, NA	 317
Mosquera, NA	 245
Olaya Herrera, NA	 804
Ospina, NA	 988
Policarpa, NA	 472
Potosi, NA	 601
Providencia, NA	 696
Puerres, NA	 111
Pupiales, NA	 887
Ricaurte, NA	 353
Roberto Payan, NA	 585
Samaniego, NA	 559
San Bernardo, NA	 557
San Juan de Pasto, NA	 735
San Lorenzo, NA	 572
San Pablo, NA	 340
San Pedro de Cartago, NA	 693
Sandona, NA	 493
Santa Barbara, NA	 692
Santa Cruz, NA	 856
Sapuyes, NA	 124
Taminango, NA	 365
Tangua, NA	 188
Tumaco, NA	 246
Tuquerres, NA	 675
Yacuanquer, NA	 761
Abrego, NS	 687
Arboledas, NS	 624
Bochalema, NS	 101
Bucarasica, NS	 33
Cachira, NS	 196
Cacota, NS	 555
Chinacota, NS	 258
Chitaga, NS	 450
Convencion, NS	 864
Cucutilla, NS	 222
Durania, NS	 326
El Carmen, NS	 120
El Tarra, NS	 293
El Zulia, NS	 877
Gramalote, NS	 963
Hacari, NS	 463
Herran, NS	 146
La Esperanza, NS	 423
La Playa de Belen, NS	 791
Labateca, NS	 329
Los Patios, NS	 868
Lourdes, NS	 933
Mutiscua, NS	 398
Ocana, NS	 784
Pamplona, NS	 152
Pamplonita, NS	 24
Puerto Santander, NS	 829
Ragonvalia, NS	 288
Salazar de las Palmas, NS	 342
San Calixto, NS	 522
San Cayetano, NS	 801
San Jose de Cucuta, NS	 607
Santiago, NS	 690
Santo Domingo de Silos, NS	 964
Sardinata, NS	 973
Teorama, NS	 864
Tibu, NS	 247
Toledo, NS	 424
Villa Caro, NS	 594
Villa del Rosario, NS	 401
Colon, PU	 495
Orito, PU	 289
Puerto Asis, PU	 383
Puerto Caicedo, PU	 923
Puerto Guzman, PU	 455
Puerto Leguizamo, PU	 415
San Francisco, PU	 782
San Miguel de Mocoa, PU	 953
Santiago, PU	 328
Sibundoy, PU	 525
Valle del Guamuez, PU	 676
Villagarzon, PU	 831
Armenia, QD	 672
Buenavista, QD	 567
Calarca, QD	 825
Circasia, QD	 167
Cordoba, QD	 402
Filandia, QD	 826
Genova, QD	 71
La Tebaida, QD	 104
Montenegro, QD	 898
Pijao, QD	 365
Quimbaya, QD	 329
Salento, QD	 649
Apia, RI	 406
Balboa, RI	 57
Belen de Umbria, RI	 267
Dosquebradas, RI	 282
Guatica, RI	 731
La Celia, RI	 760
La Virginia, RI	 264
Marsella, RI	 171
Mistrato, RI	 175
Pereira, RI	 771
Pueblo Rico, RI	 238
Quinchia, RI	 63
Santa Rosa de Cabal, RI	 243
Santuario, RI	 50
Bajo Nuevo Bank, SA	 279
Providencia, SA	 82
San Andres, SA	 501
Aguada, ST	 261
Albania, ST	 134
Aratoca, ST	 724
Barbosa, ST	 331
Barichara, ST	 982
Barrancabermeja, ST	 754
Betulia, ST	 156
Bolivar, ST	 728
Bucaramanga, ST	 114
Cabrera, ST	 306
California, ST	 869
Capitanejo, ST	 892
Carcasi, ST	 513
Cepita, ST	 940
Cerrito, ST	 599
Charala, ST	 165
Charta, ST	 251
Chima, ST	 279
Chipata, ST	 331
Cimitarra, ST	 963
Concepcion, ST	 238
Confines, ST	 701
Contratacion, ST	 53
Coromoro, ST	 319
Curiti, ST	 383
El Carmen de Chucuri, ST	 7
El Guacamayo, ST	 44
El Penon, ST	 840
El Playon, ST	 316
Encino, ST	 740
Enciso, ST	 952
Florian, ST	 357
Floridablanca, ST	 413
Galan, ST	 787
Gambita, ST	 216
Giron, ST	 176
Guaca, ST	 422
Guadalupe, ST	 45
Guapota, ST	 263
Guavata, ST	 946
Guepsa, ST	 91
Hato, ST	 266
Jesus Maria, ST	 436
Jordan, ST	 106
La Belleza, ST	 439
La Paz, ST	 380
Landazuri, ST	 860
Lebrija, ST	 906
Los Santos, ST	 238
Macaravita, ST	 268
Malaga, ST	 247
Matanza, ST	 812
Mogotes, ST	 527
Molagavita, ST	 78
Ocamonte, ST	 144
Oiba, ST	 451
Onzaga, ST	 193
Palmar, ST	 200
Palmas del Socorro, ST	 980
Paramo, ST	 770
Piedecuesta, ST	 310
Pinchote, ST	 505
Puente Nacional, ST	 423
Puerto Parra, ST	 891
Puerto Wilches, ST	 206
Rionegro, ST	 144
Sabana de Torres, ST	 458
San Andres de Cuerquia, ST	 235
San Benito, ST	 79
San Gil, ST	 952
San Joaquin, ST	 770
San Jose de Miranda, ST	 396
San Miguel, ST	 750
San Vicente de Chucuri, ST	 386
Santa Barbara, ST	 732
Santa Helena del Opon, ST	 925
Simacota, ST	 197
Socorro, ST	 937
Suaita, ST	 301
Sucre, ST	 415
Surata, ST	 224
Tona, ST	 409
Valle de San Jose, ST	 341
Velez, ST	 740
Vetas, ST	 829
Villanueva, ST	 859
Zapatoca, ST	 458
Buenavista, SU	 573
Caimito, SU	 336
Chalan, SU	 398
Coloso, SU	 276
Corozal, SU	 812
Galeras, SU	 979
Guaranda, SU	 19
La Union de Sucre, SU	 372
Los Palmitos, SU	 276
Majagual, SU	 191
Morroa, SU	 482
Ovejas, SU	 446
Sampues, SU	 248
San Antonio de Palmito, SU	 735
San Benito Abad, SU	 962
San Juan de Betulia, SU	 767
San Marcos, SU	 458
San Onofre, SU	 325
San Pedro, SU	 687
Since, SU	 594
Sincelejo, SU	 112
Sucre, SU	 358
Tolu, SU	 287
Toluviejo, SU	 189
Alpujarra, TO	 73
Alvarado, TO	 933
Ambalema, TO	 349
Anzoategui, TO	 430
Armero, TO	 197
Ataco, TO	 934
Cajamarca, TO	 711
Carmen de Apicala, TO	 261
Casabianca, TO	 536
Chaparral, TO	 310
Coello, TO	 554
Coyaima, TO	 382
Cunday, TO	 442
Dolores, TO	 539
Espinal, TO	 720
Falan, TO	 422
Flandes, TO	 744
Fresno, TO	 573
Guamo, TO	 453
Herveo, TO	 798
Honda, TO	 61
Ibague, TO	 486
Icononzo, TO	 404
Lerida, TO	 473
Libano, TO	 933
Melgar, TO	 354
Murillo, TO	 648
Natagaima, TO	 895
Ortega, TO	 678
Piedras, TO	 646
Planadas, TO	 763
Prado, TO	 696
Purificacion, TO	 534
Rioblanco, TO	 889
Roncesvalles, TO	 216
Rovira, TO	 770
Saldana, TO	 845
San Antonio, TO	 175
San Luis, TO	 289
San Sebastian de Mariquita, TO	 181
Santa Isabel, TO	 594
Suarez, TO	 811
Valle de San Juan, TO	 321
Venadillo, TO	 780
Villahermosa, TO	 884
Villarrica, TO	 682
Alcala, VC	 702
Andalucia, VC	 685
Ansermanuevo, VC	 626
Argelia, VC	 674
Bolivar, VC	 267
Buenaventura, VC	 459
Bugalagrande, VC	 441
Caicedonia, VC	 20
Calima, VC	 164
Candelaria, VC	 633
Cartago, VC	 9
Dagua, VC	 602
El Aguila, VC	 370
El Cairo, VC	 99
El Cerrito, VC	 560
El Dovio, VC	 338
Florida, VC	 803
Ginebra, VC	 414
Guacari, VC	 868
Guadalajara de Buga, VC	 452
Jamundi, VC	 58
La Cumbre, VC	 671
La Union de Sucre, VC	 417
La Victoria, VC	 914
Obando, VC	 960
Palmira, VC	 903
Pradera, VC	 811
Restrepo, VC	 312
Riofrio, VC	 111
Roldanillo, VC	 358
San Pedro, VC	 451
Santiago de Cali, VC	 769
Sevilla, VC	 885
Toro, VC	 364
Trujillo, VC	 884
Tulua, VC	 893
Ulloa, VC	 483
Versalles, VC	 604
Vijes, VC	 290
Yotoco, VC	 822
Yumbo, VC	 394
Zarzal, VC	 483
Caruru, VP	 584
Mitu, VP	 577
Pacoa, VP	 519
Papunahua, VP	 623
Taraira, VP	 958
Yavarate, VP	 997
Cumaribo, VD	 959
La Primavera, VD	 971
Puerto Carreno, VD	 343
San Jose de Ocune, VD	 14
Santa Rita, VD	 66
Santa Rosalia, VD	 160
Amazonas	1
Antioquia	1
Arauca	1
Atlantico	1
Bolivar	1
Boyaca	1
Caldas	1
Caqueta	1
Casanare	1
Cauca	1
Cesar	1
Choco	11
Cordoba	1
Cundinamarca	1
Guainia	1
Guaviare	1
Huila	1
La Guajira	1
Magdalena	1
Meta	1
Narino	1
Norte de Santander	1
Putumayo	1
Quindio	1
Risaralda	1
San Andres y Providencia	1
Santander	1
Sucre	1
Tolima	1
Valle del Cauca	1
Vaupes	1
Vichada	1
