Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita	Confirmed_change	Deaths_change
Sri Lanka	1	0	0	NA	5e-8	0	5	2	1.25	2.5e-7	1e-7	6.25e-8	2020-01-27	NA	NA	NA	NA	NA	NA
Japan	4	0	1	NA	3e-8	0	20	8	5	1.5e-7	6e-8	3.75e-8	2020-01-27	0	0	NA	NA	NA	NA
Taiwan	5	0	0	NA	2.1e-7	0	25	10	6.25	1.05e-6	4.2e-7	2.625e-7	2020-01-27	1	0	NA	NA	NA	NA
South Korea	4	0	0	NA	8e-8	0	20	8	5	4e-7	1.6e-7	1e-7	2020-01-27	1	0	NA	NA	NA	NA
Canada	1	0	0	NA	3e-8	0	5	2	1.25	1.5e-7	6e-8	3.75e-8	2020-01-28	0	0	NA	NA	NA	NA
United States of America	3	0	0	NA	1e-8	0	15	6	3.75	5e-8	2e-8	1.25e-8	2020-01-28	0	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-28	0	0	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-28	0	0	NA	NA	NA	NA
Germany	4	0	0	NA	5e-8	0	20	8	5	2.5e-7	1e-7	6.25e-8	2020-01-28	NA	NA	NA	NA	NA	NA
France	4	0	0	NA	6e-8	0	20	8	5	3e-7	1.2e-7	7.5e-8	2020-01-28	1	0	NA	NA	NA	NA
Australia	4	0	0	NA	1.6e-7	0	20	8	5	8e-7	3.2e-7	2e-7	2020-01-28	0	0	NA	NA	NA	NA
Singapore	7	0	0	NA	1.24e-6	0	35	14	8.75	6.2e-6	2.48e-6	1.55e-6	2020-01-28	2	0	NA	NA	NA	NA
Nepal	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-28	0	0	NA	NA	NA	NA
Cambodia	1	0	0	NA	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	2020-01-28	0	0	NA	NA	NA	NA
Malaysia	4	0	0	NA	1.3e-7	0	20	8	5	6.5e-7	2.6e-7	1.625e-7	2020-01-28	0	0	NA	NA	NA	NA
Vietnam	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-28	0	0	NA	NA	NA	NA
China	5974	126	89	NA	3.21e-6	9e-8	42000	19384.6153846	12600	3e-5	1.38461538462e-5	9e-6	2020-01-28	1459	46	NA	NA	NA	NA
Thailand	14	0	5	NA	2e-7	0	70	28	17.5	1e-6	4e-7	2.5e-7	2020-01-28	6	0	NA	NA	NA	NA
Sri Lanka	1	0	0	NA	5e-8	0	5	2	1.25	2.5e-7	1e-7	6.25e-8	2020-01-28	0	0	NA	NA	NA	NA
Japan	7	0	1	NA	6e-8	0	35	14	8.75	3e-7	1.2e-7	7.5e-8	2020-01-28	3	0	NA	NA	NA	NA
Taiwan	8	0	0	NA	3.4e-7	0	40	16	10	1.7e-6	6.8e-7	4.25e-7	2020-01-28	3	0	NA	NA	NA	NA
South Korea	4	0	0	NA	8e-8	0	20	8	5	4e-7	1.6e-7	1e-7	2020-01-28	0	0	NA	NA	NA	NA
Canada	1	0	0	NA	3e-8	0	5	2	1.25	1.5e-7	6e-8	3.75e-8	2020-01-29	0	0	NA	NA	NA	NA
United States of America	3	0	0	NA	1e-8	0	15	6	3.75	5e-8	2e-8	1.25e-8	2020-01-29	0	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-29	0	0	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-29	0	0	NA	NA	NA	NA
Finland	1	0	0	NA	1.8e-7	0	5	2	1.25	9e-7	3.6e-7	2.25e-7	2020-01-29	NA	NA	NA	NA	NA	NA
Germany	4	0	0	NA	5e-8	0	20	8	5	2.5e-7	1e-7	6.25e-8	2020-01-29	0	0	NA	NA	NA	NA
France	5	0	0	NA	7e-8	0	25	10	6.25	3.5e-7	1.4e-7	8.75e-8	2020-01-29	1	0	NA	NA	NA	NA
Australia	4	0	0	NA	1.6e-7	0	20	8	5	8e-7	3.2e-7	2e-7	2020-01-29	0	0	NA	NA	NA	NA
Singapore	7	0	0	NA	1.24e-6	0	35	14	8.75	6.2e-6	2.48e-6	1.55e-6	2020-01-29	0	0	NA	NA	NA	NA
United Arab Emirates	4	0	0	NA	4.2e-7	0	20	8	5	2.1e-6	8.4e-7	5.25e-7	2020-01-29	NA	NA	NA	NA	NA	NA
Nepal	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-29	0	0	NA	NA	NA	NA
Cambodia	1	0	0	NA	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	2020-01-29	0	0	NA	NA	NA	NA
Malaysia	7	0	0	NA	2.2e-7	0	35	14	8.75	1.1e-6	4.4e-7	2.75e-7	2020-01-29	3	0	NA	NA	NA	NA
Vietnam	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-29	0	0	NA	NA	NA	NA
China	7711	132	109	NA	3.42e-6	9e-8	44000	20307.6923077	13200	3e-5	1.38461538462e-5	9e-6	2020-01-29	1737	6	NA	NA	NA	NA
Thailand	14	0	5	NA	2e-7	0	70	28	17.5	1e-6	4e-7	2.5e-7	2020-01-29	0	0	NA	NA	NA	NA
Sri Lanka	1	0	0	NA	5e-8	0	5	2	1.25	2.5e-7	1e-7	6.25e-8	2020-01-29	0	0	NA	NA	NA	NA
Japan	7	0	1	NA	6e-8	0	35	14	8.75	3e-7	1.2e-7	7.5e-8	2020-01-29	0	0	NA	NA	NA	NA
Taiwan	8	0	0	NA	3.4e-7	0	40	16	10	1.7e-6	6.8e-7	4.25e-7	2020-01-29	0	0	NA	NA	NA	NA
South Korea	4	0	0	NA	8e-8	0	20	8	5	4e-7	1.6e-7	1e-7	2020-01-29	0	0	NA	NA	NA	NA
Canada	2	0	0	NA	5e-8	0	10	4	2.5	2.5e-7	1e-7	6.25e-8	2020-01-30	1	0	NA	NA	NA	NA
United States of America	3	0	0	NA	1e-8	0	15	6	3.75	5e-8	2e-8	1.25e-8	2020-01-30	0	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-30	0	0	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-30	0	0	NA	NA	NA	NA
Finland	1	0	0	NA	1.8e-7	0	5	2	1.25	9e-7	3.6e-7	2.25e-7	2020-01-30	0	0	NA	NA	NA	NA
Germany	4	0	0	NA	5e-8	0	20	8	5	2.5e-7	1e-7	6.25e-8	2020-01-30	0	0	NA	NA	NA	NA
France	5	0	0	NA	7e-8	0	25	10	6.25	3.5e-7	1.4e-7	8.75e-8	2020-01-30	0	0	NA	NA	NA	NA
Australia	7	0	2	NA	2.8e-7	0	35	14	8.75	1.4e-6	5.6e-7	3.5e-7	2020-01-30	3	0	NA	NA	NA	NA
Singapore	10	0	0	NA	1.77e-6	0	50	20	12.5	8.85e-6	3.54e-6	2.2125e-6	2020-01-30	3	0	NA	NA	NA	NA
United Arab Emirates	4	0	0	NA	4.2e-7	0	20	8	5	2.1e-6	8.4e-7	5.25e-7	2020-01-30	0	0	NA	NA	NA	NA
Philippines	1	0	0	NA	1e-8	0	5	2	1.25	5e-8	2e-8	1.25e-8	2020-01-30	NA	NA	NA	NA	NA	NA
Nepal	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-30	0	0	NA	NA	NA	NA
India	1	0	0	NA	0	0	5	2	1.25	0	0	0	2020-01-30	NA	NA	NA	NA	NA	NA
Cambodia	1	0	0	NA	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	2020-01-30	0	0	NA	NA	NA	NA
Malaysia	8	0	0	NA	2.5e-7	0	40	16	10	1.25e-6	5e-7	3.125e-7	2020-01-30	1	0	NA	NA	NA	NA
Vietnam	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-30	0	0	NA	NA	NA	NA
China	9692	165	116	NA	4.62e-6	1.2e-7	55000	25384.6153846	16500	4e-5	1.84615384615e-5	1.2e-5	2020-01-30	1981	33	NA	NA	NA	NA
Thailand	14	0	5	NA	2e-7	0	70	28	17.5	1e-6	4e-7	2.5e-7	2020-01-30	0	0	NA	NA	NA	NA
Sri Lanka	1	0	0	NA	5e-8	0	5	2	1.25	2.5e-7	1e-7	6.25e-8	2020-01-30	0	0	NA	NA	NA	NA
Japan	11	0	1	NA	9e-8	0	55	22	13.75	4.5e-7	1.8e-7	1.125e-7	2020-01-30	4	0	NA	NA	NA	NA
Taiwan	9	0	0	NA	3.8e-7	0	45	18	11.25	1.9e-6	7.6e-7	4.75e-7	2020-01-30	1	0	NA	NA	NA	NA
South Korea	4	0	0	NA	8e-8	0	20	8	5	4e-7	1.6e-7	1e-7	2020-01-30	0	0	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-31	0	0	NA	NA	NA	NA
Finland	1	0	0	NA	1.8e-7	0	5	2	1.25	9e-7	3.6e-7	2.25e-7	2020-01-31	0	0	NA	NA	NA	NA
France	5	0	0	NA	7e-8	0	25	10	6.25	3.5e-7	1.4e-7	8.75e-8	2020-01-31	0	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-31	0	0	NA	NA	NA	NA
Sweden	1	0	0	NA	1e-7	0	5	2	1.25	5e-7	2e-7	1.25e-7	2020-01-31	NA	NA	NA	NA	NA	NA
Germany	5	0	0	NA	6e-8	0	25	10	6.25	3e-7	1.2e-7	7.5e-8	2020-01-31	1	0	NA	NA	NA	NA
Russia	2	0	0	NA	1e-8	0	10	4	2.5	5e-8	2e-8	1.25e-8	2020-01-31	NA	NA	NA	NA	NA	NA
Canada	3	0	0	NA	8e-8	0	15	6	3.75	4e-7	1.6e-7	1e-7	2020-01-31	1	0	NA	NA	NA	NA
United States of America	3	0	0	NA	1e-8	0	15	6	3.75	5e-8	2e-8	1.25e-8	2020-01-31	0	0	NA	NA	NA	NA
Australia	9	0	2	NA	3.6e-7	0	45	18	11.25	1.8e-6	7.2e-7	4.5e-7	2020-01-31	2	0	NA	NA	NA	NA
Singapore	13	0	0	NA	2.31e-6	0	65	26	16.25	1.155e-5	4.62e-6	2.8875e-6	2020-01-31	3	0	NA	NA	NA	NA
United Arab Emirates	4	0	0	NA	4.2e-7	0	20	8	5	2.1e-6	8.4e-7	5.25e-7	2020-01-31	0	0	NA	NA	NA	NA
Philippines	1	0	0	NA	1e-8	0	5	2	1.25	5e-8	2e-8	1.25e-8	2020-01-31	0	0	NA	NA	NA	NA
Nepal	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-31	0	0	NA	NA	NA	NA
India	1	0	0	NA	0	0	5	2	1.25	0	0	0	2020-01-31	0	0	NA	NA	NA	NA
Cambodia	1	0	0	NA	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	2020-01-31	0	0	NA	NA	NA	NA
Malaysia	8	0	0	NA	2.5e-7	0	40	16	10	1.25e-6	5e-7	3.125e-7	2020-01-31	0	0	NA	NA	NA	NA
Vietnam	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-31	0	0	NA	NA	NA	NA
China	11379	207	179	NA	5.51e-6	1.5e-7	69000	31846.1538462	20700	5e-5	2.30769230769e-5	1.5e-5	2020-01-31	1687	42	NA	NA	NA	NA
Japan	15	0	1	NA	1.2e-7	0	75	30	18.75	6e-7	2.4e-7	1.5e-7	2020-01-31	4	0	NA	NA	NA	NA
Sri Lanka	1	0	0	NA	5e-8	0	5	2	1.25	2.5e-7	1e-7	6.25e-8	2020-01-31	0	0	NA	NA	NA	NA
Thailand	19	0	5	NA	2.7e-7	0	95	38	23.75	1.35e-6	5.4e-7	3.375e-7	2020-01-31	5	0	NA	NA	NA	NA
Taiwan	10	0	0	NA	4.2e-7	0	50	20	12.5	2.1e-6	8.4e-7	5.25e-7	2020-01-31	1	0	NA	NA	NA	NA
South Korea	11	0	0	NA	2.1e-7	0	55	22	13.75	1.05e-6	4.2e-7	2.625e-7	2020-01-31	7	0	NA	NA	NA	NA
Italy	2	0	0	NA	3e-8	0	10	4	2.5	1.5e-7	6e-8	3.75e-8	2020-02-01	2	0	NA	NA	NA	NA
Finland	1	0	0	NA	1.8e-7	0	5	2	1.25	9e-7	3.6e-7	2.25e-7	2020-02-01	0	0	NA	NA	NA	NA
France	6	0	0	NA	9e-8	0	30	12	7.5	4.5e-7	1.8e-7	1.125e-7	2020-02-01	1	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-02-01	0	0	NA	NA	NA	NA
Sweden	1	0	0	NA	1e-7	0	5	2	1.25	5e-7	2e-7	1.25e-7	2020-02-01	0	0	NA	NA	NA	NA
Germany	8	0	0	NA	1e-7	0	40	16	10	5e-7	2e-7	1.25e-7	2020-02-01	3	0	NA	NA	NA	NA
Russia	2	0	0	NA	1e-8	0	10	4	2.5	5e-8	2e-8	1.25e-8	2020-02-01	0	0	NA	NA	NA	NA
Spain	1	0	0	NA	2e-8	0	5	2	1.25	1e-7	4e-8	2.5e-8	2020-02-01	NA	NA	NA	NA	NA	NA
Canada	4	0	0	NA	1.1e-7	0	20	8	5	5.5e-7	2.2e-7	1.375e-7	2020-02-01	1	0	NA	NA	NA	NA
United States of America	5	0	0	NA	2e-8	0	25	10	6.25	1e-7	4e-8	2.5e-8	2020-02-01	2	0	NA	NA	NA	NA
Australia	8	0	2	NA	3.2e-7	0	40	16	10	1.6e-6	6.4e-7	4e-7	2020-02-01	0	0	NA	NA	NA	NA
Singapore	16	0	0	NA	2.84e-6	0	80	32	20	1.42e-5	5.68e-6	3.55e-6	2020-02-01	3	0	NA	NA	NA	NA
United Arab Emirates	4	0	0	NA	4.2e-7	0	20	8	5	2.1e-6	8.4e-7	5.25e-7	2020-02-01	0	0	NA	NA	NA	NA
Philippines	1	0	0	NA	1e-8	0	5	2	1.25	5e-8	2e-8	1.25e-8	2020-02-01	0	0	NA	NA	NA	NA
Nepal	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-02-01	0	0	NA	NA	NA	NA
India	1	0	0	NA	0	0	5	2	1.25	0	0	0	2020-02-01	0	0	NA	NA	NA	NA
Cambodia	1	0	0	NA	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	2020-02-01	0	0	NA	NA	NA	NA
Malaysia	8	0	0	NA	2.5e-7	0	40	16	10	1.25e-6	5e-7	3.125e-7	2020-02-01	0	0	NA	NA	NA	NA
Vietnam	6	0	1	NA	6e-8	0	30	12	7.5	3e-7	1.2e-7	7.5e-8	2020-02-01	4	0	NA	NA	NA	NA
China	9420	255	223	NA	6.76e-6	1.8e-7	85000	39230.7692308	25500	6e-5	2.76923076923e-5	1.8e-5	2020-02-01	0	48	NA	NA	NA	NA
Thailand	19	0	5	NA	2.7e-7	0	95	38	23.75	1.35e-6	5.4e-7	3.375e-7	2020-02-01	0	0	NA	NA	NA	NA
Sri Lanka	1	0	0	NA	5e-8	0	5	2	1.25	2.5e-7	1e-7	6.25e-8	2020-02-01	0	0	NA	NA	NA	NA
Japan	20	0	1	NA	1.6e-7	0	100	40	25	8e-7	3.2e-7	2e-7	2020-02-01	5	0	NA	NA	NA	NA
South Korea	12	0	0	NA	2.3e-7	0	60	24	15	1.15e-6	4.6e-7	2.875e-7	2020-02-01	1	0	NA	NA	NA	NA
Taiwan	10	0	0	NA	4.2e-7	0	50	20	12.5	2.1e-6	8.4e-7	5.25e-7	2020-02-01	0	0	NA	NA	NA	NA
Italy	2	0	0	NA	3e-8	0	10	4	2.5	1.5e-7	6e-8	3.75e-8	2020-02-02	0	0	NA	NA	NA	NA
Finland	1	0	0	NA	1.8e-7	0	5	2	1.25	9e-7	3.6e-7	2.25e-7	2020-02-02	0	0	NA	NA	NA	NA
